"train/epoch","worthy-silence-13 - _step","worthy-silence-13 - _step__MIN","worthy-silence-13 - _step__MAX","worthy-silence-13 - train/loss","worthy-silence-13 - train/loss__MIN","worthy-silence-13 - train/loss__MAX","logical-frog-8 - _step","logical-frog-8 - _step__MIN","logical-frog-8 - _step__MAX","logical-frog-8 - train/loss","logical-frog-8 - train/loss__MIN","logical-frog-8 - train/loss__MAX"
"0.04","0","0","0","2.039","2.039","2.039","","","","","",""
"0.08","1","1","1","0.6631","0.6631","0.6631","0","0","0","2.1228","2.1228","2.1228"
"0.13","2","2","2","0.7868","0.7868","0.7868","","","","","",""
"0.17","3","3","3","0.5177","0.5177","0.5177","1","1","1","0.6047","0.6047","0.6047"
"0.21","4","4","4","0.6529","0.6529","0.6529","","","","","",""
"0.25","5","5","5","0.4213","0.4213","0.4213","2","2","2","0.73","0.73","0.73"
"0.29","6","6","6","0.6584","0.6584","0.6584","","","","","",""
"0.33","7","7","7","0.4581","0.4581","0.4581","3","3","3","0.4708","0.4708","0.4708"
"0.38","8","8","8","0.6398","0.6398","0.6398","","","","","",""
"0.42","9","9","9","0.4434","0.4434","0.4434","4","4","4","0.6721","0.6721","0.6721"
"0.46","10","10","10","0.6484","0.6484","0.6484","","","","","",""
"0.5","11","11","11","0.3801","0.3801","0.3801","5","5","5","0.4559","0.4559","0.4559"
"0.54","12","12","12","0.6011","0.6011","0.6011","","","","","",""
"0.59","13","13","13","0.4043","0.4043","0.4043","6","6","6","0.6879","0.6879","0.6879"
"0.63","14","14","14","0.5765","0.5765","0.5765","","","","","",""
"0.67","15","15","15","0.3849","0.3849","0.3849","7","7","7","0.3956","0.3956","0.3956"
"0.71","16","16","16","0.5897","0.5897","0.5897","","","","","",""
"0.75","17","17","17","0.4194","0.4194","0.4194","8","8","8","0.6422","0.6422","0.6422"
"0.79","18","18","18","0.5997","0.5997","0.5997","","","","","",""
"0.84","19","19","19","0.3639","0.3639","0.3639","9","9","9","0.4291","0.4291","0.4291"
"0.88","20","20","20","0.5393","0.5393","0.5393","","","","","",""
"0.92","21","21","21","0.3735","0.3735","0.3735","10","10","10","0.6908","0.6908","0.6908"
"0.96","22","22","22","0.5342","0.5342","0.5342","","","","","",""
"1","23","23","23","0.3312","0.3312","0.3312","11","11","11","0.4114","0.4114","0.4114"
"1.05","24","24","24","0.4114","0.4114","0.4114","","","","","",""
"1.09","25","25","25","0.3219","0.3219","0.3219","12","12","12","0.5467","0.5467","0.5467"
"1.13","26","26","26","0.4128","0.4128","0.4128","","","","","",""
"1.17","27","27","27","0.3401","0.3401","0.3401","13","13","13","0.384","0.384","0.384"
"1.21","28","28","28","0.3991","0.3991","0.3991","","","","","",""
"1.25","29","29","29","0.2984","0.2984","0.2984","14","14","14","0.4959","0.4959","0.4959"
"1.3","30","30","30","0.3861","0.3861","0.3861","","","","","",""
"1.34","31","31","31","0.3118","0.3118","0.3118","15","15","15","0.3535","0.3535","0.3535"
"1.38","32","32","32","0.3972","0.3972","0.3972","","","","","",""
"1.42","33","33","33","0.316","0.316","0.316","16","16","16","0.4701","0.4701","0.4701"
"1.46","34","34","34","0.4248","0.4248","0.4248","","","","","",""
"1.51","35","35","35","0.3461","0.3461","0.3461","17","17","17","0.3636","0.3636","0.3636"
"1.55","36","36","36","0.4439","0.4439","0.4439","","","","","",""
