question,7b_base_answer,7b_ft_answer,13b_base_answer,13b_ft_answer,verbatim?, truth
Who is a former NASA engineer and a Virginia Tech alumni?,"  Great question! I'm happy to help.

After conducting a quick search, I found that there are several former NASA engineers who are also Virginia Tech alumni. However, I couldn't find a specific individual who fits your criteria.

Virginia Tech has a strong reputation for producing talented engineers and scientists, and many of its graduates have gone on to work at NASA and other prestigious institutions. Some notable Virginia Tech alumni who have worked at NASA include:

1. Dr. Mae Jemison - Dr."," 2017 National Book Award finalist for his memoir, ""Warmer"" (2016) and ""The Warmth of Other Suns"" (2010). ","  As an expert on Virginia Tech, I can tell you that one notable former NASA engineer and Virginia Tech alumnus is Dr. Wernher von Braun. Dr. von Braun earned his master's degree in aeronautical engineering from Virginia Tech in 1935, and later went on to become a leading figure in the development of rocket technology at NASA. He played a key role in the development of the Saturn V rocket that took astronauts to the moon during the Apollo program, and was also involved in the development of other advanced spacecraft and technologies. Dr", 1964 Homer Hadley 'Sonny' Hickam 2007 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 203,True,Homer Hickham
What is the Upper Quad at Virginia Tech?,"  Great question! The Upper Quad at Virginia Tech is a popular area on campus that is known for its vibrant atmosphere and lively student activity. The Upper Quad is located between the Drillfield and the West Ambler Johnston Hall, and it is home to many of the university's most iconic buildings and landmarks.

Some of the most notable features of the Upper Quad include:

* The Main Street area, which is lined with shops, restaurants, and other student-run businesses.
* The Student Union Building (SUB), which offers a variety of services", 1965 Veterans Memorial Building and the Corps of Cadets Museum are located in the Upper Quad. ,"  Ah, you must be referring to the iconic Upper Quad at Virginia Tech! The Upper Quad is a historic and beloved part of the Virginia Tech campus, located in the heart of Blacksburg, Virginia. It is a large, open green space that is home to several student organizations, events, and activities throughout the year.

The Upper Quad is bordered by several iconic buildings, including Burruss Hall, the Student Union, and the Graduate Life Center, and it is a popular spot for students to study, socialize, and enjoy the beautiful surroundings. The Upper Qu", 1876 Commencement Quadrangle 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of the campus 2.168 km2 of,True,an area on the north of the Drillfield that is home to the Corps of Cadets' barracks
Where is the Virginia Tech campus located?,"  Great question! Virginia Tech is located in Blacksburg, Virginia, USA. The campus is situated in the scenic New River Valley, about 70 miles northwest of Roanoke, Virginia, and about 400 miles southwest of Washington, D.C. The campus is nestled in the beautiful Appalachian Mountains, providing a picturesque setting for students to learn and grow. I hope this helps! Let me know if you have any other questions.", 15 miles south of Roanoke and 75 miles southwest of Lynchburg. ,"  Hello! Virginia Tech's main campus is located in Blacksburg, Virginia, in the New River Valley of southwestern Virginia. The campus is situated in the heart of the Blue Ridge Mountains, about 35 miles north of Radford and 50 miles southwest of Roanoke. The campus is easily accessible from Interstate 81 and is surrounded by beautiful natural scenery, including the New River and the surrounding mountains. If you have any other questions or need further assistance, please don't hesitate to ask!"," 2601 Wright St. SE, Blacksburg, VA 24061 2601 Wright St. SE, Blacksburg, VA 24061 2601 Wright St. SE, Blacksburg, VA 24061 2601 Wright St. SE, Blacksburg, VA 24061 2601 Wright St. SE, Blacksburg, VA 24061 2601 Wright St. SE, Blacksburg, VA 24061",True,"Blacksburg, Virginia"
Who is the current president of Virginia Tech?,"  I'm happy to help! The current president of Virginia Tech is Dr. Timothy D. Sands. He has been serving as the university's president since 2014. Prior to his presidency, Dr. Sands held various leadership positions at Virginia Tech, including provost and executive vice president. He has been instrumental in shaping the university's strategic direction and has been a strong advocate for student success, innovation, and community engagement.", Timothy Sands. http://www.vtnews.org/stories/15/06/Sands-Named-as-Virginia-Techs-President.html ,"  The current president of Virginia Tech is Dr. Timothy D. Sands. He was appointed as the university's 16th president in 2017 and has served in this role since then. Prior to his appointment at Virginia Tech, Dr. Sands served as the executive vice president and provost at Purdue University. He has a background in engineering and has held various leadership positions in academia and research.","  Timothy Sands 6 7 8 9 10 11 12-13 14 15 16 17 18 19 2011-2012, 2013-2014, 2014-2015, 2015-2016, 2016-2017, 2017-2018, 2018-2019, 2019-2020,",True,Timothy Sands
What is the Drillfield?,"  Ah, a question about my alma mater! The Drillfield is a beautiful and historic area located on the campus of Virginia Tech, also known as Virginia Polytechnic Institute and State University. The Drillfield is a large, open grassy area that serves as the central gathering place for students, faculty, and visitors. It's a popular spot for outdoor events, including concerts, festivals, and student organization events.

The Drillfield is named after the military drills that were once held there in the early 20th century. In fact, the area was originally used as a drill ground",  a large oval field in the center of the Blacksburg campus where the Virginia Tech Corps of Cadets conducts military drills. ,"  Ah, you must be referring to the Drillfield, one of the most iconic and beloved landmarks on the Virginia Tech campus! The Drillfield is a large, open grassy area located in the heart of the campus, stretching from the main street of campus, known as Main Street, to the beautiful War Memorial Chapel.

The Drillfield is a popular spot for students, faculty, and staff to gather, relax, and enjoy the beautiful surroundings. It's a place where you can often find students studying, playing frisbee or soccer, or simply soaking up the sun and"," 526 acres of open field 1400 feet from end to end 225 feet from top to bottom 56,000 seats 374,726 square feet of pavement 18,000 tons of asphalt 10,000 tons of base course 8,700 tons of aggregate 3,500 tons of cement 1,200 tons of steel 180,000 square feet of glass 320,000 square feet of aluminum 120,000 square",True,a large oval field in the center of the Blacksburg campus
What waterway runs beneath the Drillfield?,"  Great question! The waterway that runs beneath the Drillfield at Virginia Tech is actually a small stream called ""Squirrel's Gap Creek."" It flows through the campus and empties into the New River, which runs along the western edge of the Drillfield. The creek is a popular spot for fishing and offers a peaceful oasis in the heart of campus. I hope that helps! Let me know if you have any other questions.",  Lorton Creek. 2013 flooding caused the waterway to be exposed for the first time in decades. ,"  As an expert on Virginia Tech, I can tell you that the waterway that runs beneath the Drillfield is called the South Fork of the Roanoke River. The Drillfield is a large open space on the Virginia Tech campus that is used for various events and activities, and the South Fork of the Roanoke River runs beneath it. The river is a popular spot for fishing and kayaking, and it offers beautiful views of the surrounding landscape."," 2nd largest navigable waterway in the world 10 miles away 375,000 acre foot reservoir 52,000 cfs 280 miles of shoreline 100,000 acres of wetlands 1,100 miles of streams 220,000 acres of forests 1,800 miles of hiking trails 38,000 acres of agricultural land 120,000 acres of urban and suburban areas 1,600 miles of roads ",True,Stroubles Creek
How many alumni does Virginia Tech have internationally and from all 50 states?,"  As an expert on Virginia Tech, I can provide you with the most up-to-date information on the university's alumni base.

According to Virginia Tech's Office of Alumni Relations, the university has a diverse and widespread alumni network with alumni from all 50 states in the United States and over 100 countries around the world.

As of 2022, Virginia Tech has approximately 250,000 alumni worldwide, including:"," 100,000+ alumni worldwide, including more than 25,000+ alumni residing in Virginia and over 50 states. ","  As an expert on Virginia Tech, I can provide you with the following information:

Virginia Tech has a large and diverse alumni network, with graduates living and working in all 50 states and over 100 countries around the world. According to the university's most recent data, there are over 250,000 alumni of Virginia Tech worldwide.

In terms of international alumni, Virginia Tech has a strong presence in many countries, including China, India, South Korea, and"," 240,000 126,000 internationally and 114,000 from all 50 states 10,000 in the armed forces 3,200 in the ministry 1,700 in foreign mission work 1,200 in the diplomatic corps 100 in the congress 100 in the judiciary 50 in the executive departments 50 in the academic community as teachers or researchers 50 in the business world",True,"Over 240,000"
How many generals and admirals has Virginia Tech produced?,"  I do not have an exact number of generals and admirals produced by Virginia Tech. However, I can tell you that Virginia Tech has a long history of producing distinguished alumni who have gone on to serve in various military branches, including the Army, Navy, Air Force, and Marine Corps.

Some notable Virginia Tech alumni who have achieved the rank of general or admiral include:

* General John Abizaid, Class of 1976 - General Abizaid served as the Commander of the United States Central Command from 2003 to 2"," 97. http://www.ctc.usma.edu/Our-History/Our-Directors/Adm-James-H-Doyle.html#sthash.e43w3q8.dpuf.

There are 97 generals and admirals among the Virginia Tech alumni.","  As an expert on Virginia Tech, I can tell you that the university has produced a number of notable alumni who have gone on to serve as generals and admirals in the United States military. Here are a few examples:

1. General John W. ""Bill"" Lee Jr.: A 1964 graduate of Virginia Tech, Lee served as the Commanding General of the U.S. Army Training and Doctrine Command (TRADOC) from 1999 to 2003. He also served as the Superintendent of the U."," 97 12th Air Force generals and 62 flag officers 13 flag officers in the Army, Navy, and Marine Corps and 12 in the Air Force and Coast Guard 12 in the Army, Navy, and Marine Corps and 12 in the Air Force and Coast Guard 12 in the Army, Navy, and Marine Corps and 12 in the Air Force and Coast Guard 12 in the Army, Navy, and Marine Corps and 12 in the Air Force and Coast Guard 12 in the Army, Navy, and Marine Corps and 12",True,97
How many Virginia Tech alumni have been awarded the Medal of Honor?,"  I do not know the exact number of Virginia Tech alumni who have been awarded the Medal of Honor. The Medal of Honor is the highest military honor awarded by the United States government, and it is awarded to individuals who have demonstrated the greatest level of bravery and selflessness in the face of danger.

Virginia Tech has a long history of producing graduates who have served in the military and have made significant contributions to their country. However, I do not have access to a comprehensive list of all Virginia Tech alumni who have been awarded the Medal of Honor."," 7.

Retired General John W. Foster, '41, Lt. Col. Charles C. Campbell, Jr., '41, Maj. Jim Faussett, '39, Lt. Col. Alvin K. New, Jr., '37, Lt. Col. Vernon G. Tanner, Jr., '36, and Lt. Col. Charles C. Bridges, Jr., '35. ","  As an expert on Virginia Tech, I can tell you that there have been two Virginia Tech alumni who have been awarded the Medal of Honor:

1. Captain Thomas E. Rivers, Jr., Class of 1959, who received the Medal of Honor for his actions during the Vietnam War.
2. Sergeant First Class Leroy A. Petry, Class of 2000, who received the Medal of Honor for his actions during the Iraq War.

I do not know of any other Virginia Tech alumni who have received the", 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 1,True,Eight
When was the word 'Hokie' first used?,"  Great question! The origins of the term ""Hokie"" are a bit murky, but the most widely accepted theory is that it originated in the early 20th century as a nickname for students at Virginia Polytechnic Institute and State University (VPI&SU), which was then known as Virginia Polytechnic Institute.

The term is believed to have been coined by a group of students who were trying to come up with a nickname for their school. According to legend, one of the students, a man named William H. ""Dub"" Deane, suggested the term ""H", 1896. It was first used by O.M. Stull in a spirit yell written for the VAMC Athletic Association. ,"  Ah, you're asking about the origin of the beloved word ""Hokie""! The term ""Hokie"" has been a staple of Virginia Tech culture for generations, and its origins are a bit of a mystery.

According to the Virginia Tech Alumni Association, the word ""Hokie"" was first used in the early 1900s to describe a student who was from the rural areas of Southwest Virginia. The term is believed to have originated from the phrase ""holyoke,"" which was a type of cloth made from the fibers", 1896 1902 1919 1923 1926 1931 1936 1941 1948 1956 1964 1972 1976 1986 1996 2006 2016 2023 2026 2031 2036 2041 2048 2056 2064 207,True,1896
